1088,2000000,01/07/2022,17,1295,2187,-,1
99,200000,01/07/2022,99,,,,0
352,20000,01/07/2022,352,-,-,-,1
556,250000,01/07/2022,556,-,-,-,0
1046,200000,01/07/2022,1046,-,-,-,0
2165,75000,01/07/2022,2165,-,-,-,0
1794,50000,01/07/2022,1794,-,-,-,0
1470,200000,01/07/2022,1470,-,-,-,0
699,250000,01/07/2022,699,-,-,-,1
1396,230000,01/08/2022,1982,-,-,-,0
2086,150000,01/08/2022,536,-,-,-,0
1001,150000,01/08/2022,1001,-,-,-,1
595,2000000,01/08/2022,1687,207,714,819,1
341,460000,01/08/2022,131,-,-,-,0
1592,10000000,01/08/2022,1594,017,-,-,0
1330,200000,01/08/2022,1330,-,-,-,0
1109,35000,01/08/2022,1109,-,-,-,0
1701,320000,01/08/2022,1701,-,-,-,1
1540,1200000,01/08/2022,788,-,-,-,1
147,300000,01/08/2022,329,1161,318,-,1
313,3000000,01/08/2022,028,855,-,-,1
1992,200000,01/08/2022,135,1991,-,-,0
1351,650000,01/08/2022,697,165,1927,-,0
1155,110000,01/08/2022,1155,-,-,-,1
2118,185000,01/08/2022,1000,-,-,-,1
1134,385000,01/08/2022,895,-,-,-,0
2057,200000,01/08/2022,826,1996,1369,1365,0
1266,400000,01/08/2022,1124,524,-,-,0
1238,850000,01/08/2022,411,749,1217,-,0
621,480000,01/08/2022,849,-,-,-,0
2094,1000000,01/08/2022,1221,-,-,-,1
1501,50000,01/08/2022,1221,-,-,-,1
1127,50000,01/08/2022,1127,-,-,-,1
1461,60000,01/08/2022,1461,-,-,-,0
060,5000000,01/08/2022,060,-,-,-,1
991,1000000,01/08/2022,1649,1059,342,-,0
1410,250000,01/08/2022,2064,2063,017,-,1
820,400000,01/08/2022,1159,-,-,-,0
1292,4000000,01/08/2022,018,1355,131,524,0
613,400000,01/08/2022,2156,2154,1469,580,1
1756,1500000,01/08/2022,1158,182,090,-,0
461,800000,01/08/2022,144,012,-,-,1
1879,200000,01/08/2022,1879,-,-,-,0
2017,33000,01/08/2022,2017,-,-,-,1
546,250000,01/08/2022,546,-,-,-,0
483,2000000,01/09/2022,154,582,156,-,0
668,1000000,01/09/2022,1932,1950,1805,-,0
623,400000,01/09/2022,623,-,-,-,0
524,3000000,01/09/2022,2184,181,1570,-,1
794,280000,01/09/2022,1305,2002,-,-,1
797,15000000,01/09/2022,017,1787,321,840,1
1297,100000,01/09/2022,2277,-,-,-,0
1586,65000,01/09/2022,-,-,-,-,1
1077,600000,01/09/2022,936,1893,-,-,1
1574,350000,01/09/2022,509,702,-,-,1
1087,500000,01/09/2022,-,-,-,-,0
1594,4000000,01/09/2022,1593,1592,-,-,0
110,400000,01/09/2022,-,-,,-,0
788,460000,01/09/2022,-,-,-,-,0
1834,300000,01/09/2022,-,-,-,-,1
1620,500000,01/09/2022,-,-,-,-,0
170,100000,01/09/2022,-,-,-,-,1
1064,3000000,01/09/2022,012,-,,-,0
293,3600000,01/09/2022,792,-,-,-,0
2000,600000,01/09/2022,867,-,-,-,0
591,295000,01/09/2022,077,114,8553,-,0
1350,200000,01/09/2022,2185,1669,926,-,1
817,500000,01/09/2022,914,908,-,-,0
1826,80000,01/09/2022,1070,-,-,-,1
1749,260000,01/09/2022,1043,2004,135,-,1
275,300000,01/09/2022,1150,1262,-,-,0
740,2500000,01/09/2022,703,098,1290,-,0
2096,90000,01/09/2022,-,-,-,-,0
1005,520000,01/09/2022,1201,1383,-,-,1
2111,60000,01/09/2022,684,-,-,-,1
1958,1000000,01/09/2022,497,1032,-,-,0
1973,1800000,01/09/2022,1982,1748,792,1981,1
165,600000,01/09/2022,-,-,-,-,1
1699,2000000,01/09/2022,512,2140,676,531,1
1080,3500000,01/09/2022,017,1386,1938,1429,1
1984,175000,01/09/2022,-,-,-,-,1
1779,200000,01/09/2022,-,-,-,-,1
576,85000,01/09/2022,-,-,-,-,1
1170,150000,01/09/2022,-,-,-,-,1
2066,70000,01/09/2022,156,-,-,-,0
1987,1300000,01/09/2022,021,916,614,1925,0
2126,60000,01/09/2022,1488,-,-,-,1
747,300000,01/09/2022,1008,617,627,502,0
164,1100000,01/10/2022,262,081,112,-,0
487,550000,01/10/2022,514,561,-,-,0
1488,500000,01/10/2022,1429,1381,1386,1787,0
371,1500000,01/10/2022,017,370,-,-,0
013,1200000,01/10/2022,081,097,111,1386,0
270,500000,01/10/2022,822,1288,-,-,1
562,1500000,01/10/2022,-,-,-,-,0
1692,1200000,01/10/2022,614,1693,1102,-,0
2019,850000,01/10/2022,1043,1258,926,-,1
840,3850000,01/10/2022,1337,-,-,-,1
,20000,01/10/2022,2099,107,145,-,1
1712,250000,01/10/2022,1459,786,-,-,0
1620,900000,01/10/2022,-,-,-,-,1
767,3000000,01/10/2022,1325,804,822,017,1
342,700000,01/10/2022,578,1649,791,1682,0
2108,1900000,01/10/2022,-,-,-,-,1
555,280000,01/10/2022,040,1400,006,-,0
497,1200000,01/10/2022,1159,012,1459,156,1
1290,100000,01/10/2022,-,-,-,-,1
1646,300000,01/10/2022,1009,1419,-,-,0
1281,350000,01/10/2022,348,-,-,-,1
1303,800000,01/10/2022,1810,1880,963,-,1
1990,220000,01/10/2022,1235,1442,-,-,0
795,400000,01/10/2022,822,786,-,-,0
736,400000,01/10/2022,1459,786,,,1
1437,500000,01/10/2022,396,1341,988,-,1
1387,300000,01/10/2022,1489,1470,-,-,1
1633,2500000,01/10/2022,1970,1026,697,910,1
276,1000000,01/10/2022,277,179,-,-,1
1435,500000,01/10/2022,1888,-,-,-,0
1256,450000,01/10/2022,1616,1617,142,-,0
692,250000,01/10/2022,-,-,-,-,0
274,800000,01/10/2022,273,546,-,-,1
1838,845000,01/10/2022,1910,494,901,962,1
2071,80000,01/10/2022,-,-,-,-,1
1696,140000,01/10/2022,1441,1948,-,-,1
843,70000,01/10/2022,-,-,-,-,1
2013,200000,01/10/2022,-,-,-,-,0
974,250000,01/10/2022,-,-,-,-,0
396,235000,01/10/2022,-,-,-,-,0
1655,420000,01/10/2022,1654,-,-,-,0
804,800000,01/10/2022,-,-,-,-,1
001,500000,01/10/2022,-,-,-,-,0
018,500000,01/10/2022,-,-,-,-,0
1624,200000,01/10/2022,-,-,-,-,1
962,5000000,01/10/2022,1025,697,058,962,0
144,20000000,01/10/2022,962,017,025,-,1
1818,500000,01/10/2022,-,-,-,-,0
568,50000,01/10/2022,-,-,-,-,0
433,120000,01/10/2022,-,-,-,-,1
462,70000,01/10/2022,-,-,-,-,1
509,1000000,01/11/2022,702,481,368,040,0
1998,300000,01/11/2022,118,614,-,-,0
1797,62000,01/11/2022,933,-,-,-,0
2187,3000000,01/11/2022,2317,078,231,-,0
2136,80000,01/11/2022,1369,1368,-,-,1
2169,950000,01/11/2022,028,855,1490,-,1
1761,70000,01/11/2022,-,-,-,-,0
233,1700000,01/11/2022,017,-,-,-,0
1139,1295000,01/11/2022,030,-,-,-,1
1963,600000,01/11/2022,090,040,-,-,1
267,150000,01/11/2022,268,-,-,-,1
1461,140000,01/11/2022,-,-,-,-,0
560,400000,01/11/2022,1316,-,-,-,1
098,1400000,01/11/2022,703,-,-,-,0
866,500000,01/11/2022,813,1552,-,-,0
2096,300000,01/11/2022,1820,1937,613,-,0
1159,700000,01/11/2022,845,1035,-,-,1
1884,35000,01/11/2022,410,-,-,-,1
1991,1200000,01/11/2022,2815,593,926,1043,1
193,330000,01/11/2022,172,1679,692,-,0
2004,490000,01/11/2022,1459,1470,012,-,1
476,100000,01/11/2022,1370,826,1141,-,1
1802,800000,01/11/2022,1903,1983,1247,1667,1
367,280000,01/11/2022,070,1255,040,1419,1
709,530000,01/11/2022,1470,1850,-,-,1
700,1200000,01/11/2022,712,993,660,1994,0
1856,1000000,01/11/2022,-,-,-,-,0
1833,90000,01/11/2022,-,-,-,-,0
1370,90000,01/11/2022,2298,2296,-,-,1
1709,250000,01/11/2022,682,1402,1823,-,0
1246,500000,01/11/2022,805,-,-,-,1
1002,450000,01/11/2022,914,929,-,-,1
749,1200000,01/11/2022,192,2194,2161,177,1
1427,300000,01/11/2022,1775,-,-,-,1
033,400000,01/11/2022,1839,-,-,-,1
158,1700000,01/11/2022,290,-,-,-,0
1921,300000,01/11/2022,-,-,-,-,0
111,200000,01/11/2022,1386,-,-,-,1
2114,380000,01/11/2022,1955,-,-,-,1
1355,1000000,01/11/2022,-,-,-,-,0
988,350000,01/11/2022,-,-,-,-,1
362,800000,01/11/2022,-,-,-,-,0
1976,100000,01/11/2022,-,-,-,-,0
1704,100000,01/11/2022,-,-,-,-,0
1795,170000,01/11/2022,-,-,-,-,0
1552,40000,01/11/2022,-,-,-,-,0
020,700000,01/11/2022,1291,021,040,-,0
453,120000,01/11/2022,-,-,-,-,0
1304,50000,01/11/2022,839,-,-,-,1
737,300000,01/11/2022,-,-,-,-,0
759,55000,01/11/2022,-,-,-,-,1
139,3100000,01/12/2022,290,1444,-,-,0
844,150000,01/12/2022,421,-,-,-,1
474,1800000,01/12/2022,1810,1880,827,1975,1
907,300000,01/12/2022,579,236,-,-,0
1902,550000,01/12/2022,001,-,-,-,0
085,1000000,01/12/2022,-,-,-,-,1
2145,540000,01/12/2022,1621,182,-,-,1
773,1200000,01/12/2022,016,-,-,-,1
329,600000,01/12/2022,1434,1964,1897,-,1
2192,400000,01/12/2022,789,040,-,-,0
